grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,tech,standard,manufacturer,link
08Х16Н11М3,316 X5CrNiMo17-12-2 SUS316 1.4401 0Cr17Ni12Mo2 2347 0H17N12M2T 17346,Fe,до &nbsp; 0.08,15.5 - 17,1.5 - 2,,,,8.5 - 10,1 - 1.5,до &nbsp; 0.6,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 08Х16Н11М3, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=48
08Х16Н13М2Б,316cd J92971 S31640 1.4580 X1CrNiMoNb17-12-2 X6CrNiMoNb17-12-2 Z6CNDNB17-12 Z6CNDNb17-13 318S17 X6CrNiMoNb17-2-2 X6CrNiMoNb17-12 F.3536 AoX12CrNiMoNb18-10 X6CrNiMoNb17-12-2KKW X6CrNiMoNb17-12-2S,Fe,0.06 - 0.12,15 - 17,2 - 2.5,,,,12.5 - 14.5,до &nbsp; 1,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.035,,0.9 - 1.3,,,"GOST 08Х16Н13М2Б, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=22
08Х16Н9М2,,Fe,до &nbsp; 0.08,15.5 - 17,1.5 - 2,,,,8.5 - 10,1 - 1.5,до &nbsp; 0.6,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 08Х16Н9М2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3081
08Х20Н14С2,XM-15 X15CrNiSi20-12 SUH309 Z10CNS25-20 Z17CNS20-12 1Cr20Ni14Si2,Fe,до &nbsp; 0.08,19 - 22,,,,,12 - 15,до &nbsp; 1.5,2 - 3,до &nbsp; 0.025,до &nbsp; 0.035,,,,,"GOST 08Х20Н14С2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=810
08Х21Н6М2Т,329 S32900 X2CrNiMoN225 SUS329J1,Fe,до &nbsp; 0.08,20 - 22,1.8 - 2.5,,,,5.5 - 6.5,до &nbsp; 0.8,до &nbsp; 0.8,до &nbsp; 0.025,до &nbsp; 0.035,,,,,"GOST 08Х21Н6М2Т, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=55
09Х14Н16Б,,Fe,0.07 - 0.12,13 - 15,,,,,14 - 17,1 - 2,до &nbsp; 0.6,до &nbsp; 0.02,до &nbsp; 0.035,,0.9 - 1.3,,,"GOST 09Х14Н16Б, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=23
09Х14Н19В2БР,,Fe,0.07 - 0.12,13 - 15,,,2 - 2.8,,18 - 20,до &nbsp; 2,до &nbsp; 0.6,до &nbsp; 0.02,до &nbsp; 0.035,,0.9 - 1.3,,,"GOST 09Х14Н19В2БР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=66
09Х14Н19В2БР1,,Fe,0.07 - 0.12,13 - 15,,,2 - 2.8,,18 - 20,до &nbsp; 2,до &nbsp; 0.6,до &nbsp; 0.02,до &nbsp; 0.035,,0.9 - 1.3,,,"GOST 09Х14Н19В2БР1, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=25
09Х16Н15М3Б,318 1.4583 X10CrNiMoNb18-12 X6CrNiMoNb17-13,Fe,до &nbsp; 0.09,15 - 17,2.5 - 3,,,,14 - 16,до &nbsp; 0.8,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.035,,0.6 - 0.9,,,"GOST 09Х16Н15М3Б, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=815
09Х16Н16МВ2БР,,Fe,0.06 - 0.11,15 - 17,0.4 - 0.9,,2 - 3,,15 - 17,до &nbsp; 0.6,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.03,,0.6 - 1,,,"GOST 09Х16Н16МВ2БР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=50
10ГН2МФА,,Fe,0.08 - 0.12,до &nbsp; 0.3,0.4 - 0.7,0.03 - 0.07,,,1.8 - 2.3,0.8 - 1.1,0.17 - 0.37,до &nbsp; 0.02,до &nbsp; 0.02,до &nbsp; 0.3,,,,"GOST 10ГН2МФА, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3240
10ГН2МФА-Ш,,Fe,0.08 - 0.12,до &nbsp; 0.3,0.4 - 0.7,0.03 - 0.07,,,1.8 - 2.3,0.8 - 1.1,0.17 - 0.37,до &nbsp; 0.005,до &nbsp; 0.008,до &nbsp; 0.3,,,,"GOST 10ГН2МФА-Ш, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3241
10Х11Н20Т2Р,,Fe,до &nbsp; 0.1,10 - 12.5,,,,,18 - 21,до &nbsp; 1,до &nbsp; 1,до &nbsp; 0.02,до &nbsp; 0.03,,,,,"GOST 10Х11Н20Т2Р, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=958
10Х11Н20Т3Р,,Fe,до &nbsp; 0.1,10 - 12.5,,,,,18 - 21,до &nbsp; 1,до &nbsp; 1,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 10Х11Н20Т3Р, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=24
10Х11Н23Т3МР,,Fe,до &nbsp; 0.1,10 - 12.5,1 - 1.6,,,,21 - 25,до &nbsp; 0.6,до &nbsp; 0.6,до &nbsp; 0.01,до &nbsp; 0.025,,,,,"GOST 10Х11Н23Т3МР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=817
10Х13Г12БС2Н2Д2,,Fe,0.06 - 0.1,11.5 - 13,,,,,1.8 - 2.5,12 - 13.5,1.8 - 2.2,до &nbsp; 0.02,до &nbsp; 0.03,2 - 2.5,0.6 - 1,,,"GOST 10Х13Г12БС2Н2Д2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3080
10Х13СЮ,405 MT405 S40500 1.4724 X10CrAl13 X7CrAl13 Х10CrAlSi13 SUS405 Z10C13 Z13C13 403S17 X10CrAlSi13 X10CrSiAl13 X10CrAl12 F.311 F.3152 OCr13Al Ch13SJu H12 H13JS 17125,Fe,0.07 - 0.12,12 - 14,,,,,,до &nbsp; 0.8,1.2 - 2,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 10Х13СЮ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=811
10Х15Н25В3ТЮ,,Fe,до &nbsp; 0.1,14 - 16,,,2.8 - 3.5,,24 - 28,1 - 2,до &nbsp; 0.5,до &nbsp; 0.02,до &nbsp; 0.02,,,,,"GOST 10Х15Н25В3ТЮ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=995
10Х15Н25М3В3ТЮК,,Fe,до &nbsp; 0.1,14 - 16,2 - 3,,2 - 3,0.5 - 1,24 - 28,1 - 2,до &nbsp; 0.5,до &nbsp; 0.02,до &nbsp; 0.02,,,,,"GOST 10Х15Н25М3В3ТЮК, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=996
10Х18Н18Ю4Д,,Fe,0.07 - 0.13,18 - 19.5,,,,,18 - 19.5,до &nbsp; 0.8,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.035,0.4 - 0.6,,,,"GOST 10Х18Н18Ю4Д, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=64
10Х23Н18,310S S31000 S31008 S31009 1.4842 1.4845 X10CrNiSiN21-11 X12CrNi25-20 X12CrNi25-21 X8CrNi25-21 X9CrNiSiNCe21-11-2 SUH310 SUS310S Z12CN25-20 Z12CN26-21 Z8CN25-20 310S16 310S24 310S94 X6CrNi25-20 F.331 0Cr25Ni20 2361,Fe,до &nbsp; 0.1,22 - 25,,,,,17 - 20,до &nbsp; 2,до &nbsp; 1,до &nbsp; 0.02,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 10Х23Н18, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=337
10Х25Н25ТР,,Fe,0.07 - 0.12,23 - 26,,,,,24 - 27,1 - 2,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 10Х25Н25ТР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=998
10Х7МВФБР,,Fe,0.07 - 0.12,6 - 8,0.7 - 1,0.3 - 0.5,,,0.5 - 1,,,до &nbsp; 0.025,до &nbsp; 0.025,,0.15 - 0.4,,,"GOST 10Х7МВФБР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=13
11Х11Н2В2МФ,,Fe,0.09 - 0.13,10.5 - 12,0.35 - 0.5,0.18 - 0.3,1.6 - 2,,1.5 - 1.8,до &nbsp; 0.6,до &nbsp; 0.6,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 11Х11Н2В2МФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=821
12Х12МВФБР,,Fe,0.1 - 0.15,11 - 13,0.7 - 1,0.15 - 0.3,0.55 - 0.85,,0.5 - 1,0.5 - 1,до &nbsp; 0.5,до &nbsp; 0.025,до &nbsp; 0.025,,0.15 - 0.3,,,"GOST 12Х12МВФБР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=15
12Х14Н14В2М,,Fe,до &nbsp; 0.15,13 - 15,0.4 - 0.6,,2 - 2.75,,13 - 15,до &nbsp; 0.7,0.3 - 0.8,до &nbsp; 0.03,до &nbsp; 0.035,,,,,"GOST 12Х14Н14В2М, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=49
12Х25Н16Г7АР,,Fe,до &nbsp; 0.12,23 - 26,,,,,15 - 18,5 - 7,до &nbsp; 1,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 12Х25Н16Г7АР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=62
12Х2МВ8ФБ,,Fe,0.07 - 0.12,2.1 - 2.6,0.5 - 0.7,0.2 - 0.35,7 - 8.5,,до &nbsp; 0.5,0.4 - 0.7,0.4 - 0.7,до &nbsp; 0.025,до &nbsp; 0.025,,0.8 - 1.2,,,"GOST 12Х2МВ8ФБ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=16
12Х8ВФ,,Fe,0.08 - 0.15,7 - 8.5,,0.3 - 0.5,0.6 - 1,,до &nbsp; 0.6,до &nbsp; 0.5,до &nbsp; 0.6,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 12Х8ВФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=813
13Х11Н2В2МФ,,Fe,0.1 - 0.16,10.5 - 12,0.35 - 0.5,0.18 - 0.3,1.6 - 2,,1.5 - 1.8,до &nbsp; 0.6,до &nbsp; 0.6,до &nbsp; 0.03,до &nbsp; 0.03,,,,,"GOST 13Х11Н2В2МФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=11
13Х14Н3В2ФР,,Fe,0.1 - 0.16,13 - 15,,0.18 - 0.28,1.6 - 2.2,,2.8 - 3.4,до &nbsp; 0.6,до &nbsp; 0.6,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 13Х14Н3В2ФР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=818
15Х11МФ,15H11MF,Fe,0.12 - 0.19,10 - 11.5,0.6 - 0.8,0.25 - 0.4,,,до &nbsp; 0.6,до &nbsp; 0.7,до &nbsp; 0.5,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.3,,,,"GOST 15Х11МФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=9
15Х12ВНМФ,15H12WMF,Fe,0.12 - 0.18,11 - 13,0.5 - 0.7,0.15 - 0.3,0.7 - 1.1,,0.4 - 0.8,0.5 - 0.9,до &nbsp; 0.4,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.3,,,,"GOST 15Х12ВНМФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=17
15Х18СЮ,430 1.4742 X10CrAl18 X10CrAlSi18 SUN21 Z10CAS18 Z12CAS18 430S15 X8Cr17 F.3113 F.3153 1Cr19Al3 Ch18SJu H13 H18JS 10AlCr180 STR21,Fe,до &nbsp; 0.15,17 - 20,,,,,,до &nbsp; 0.8,1 - 1.5,до &nbsp; 0.025,до &nbsp; 0.035,,,,,"GOST 15Х18СЮ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=809
16Х11Н2В2МФ,,Fe,0.14 - 0.18,10 - 12,0.35 - 0.5,0.18 - 0.3,1.6 - 2,,1.4 - 1.8,до &nbsp; 0.6,до &nbsp; 0.6,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 16Х11Н2В2МФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=948
18Х11МНФБ,X22CrMoV12-1,Fe,0.15 - 0.21,10 - 11.5,0.8 - 1.1,0.2 - 0.4,,,0.5 - 1,0.6 - 1,до &nbsp; 0.6,до &nbsp; 0.025,до &nbsp; 0.03,,0.2 - 0.45,,,"GOST 18Х11МНФБ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=819
18Х12ВМБФР,,Fe,0.15 - 0.22,11 - 13,0.4 - 0.6,0.15 - 0.18,0.4 - 0.7,,до &nbsp; 0.06,до &nbsp; 0.5,до &nbsp; 0.5,до &nbsp; 0.025,до &nbsp; 0.03,,0.2 - 0.4,,,"GOST 18Х12ВМБФР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=14
20Х12ВНМФ,616 SUH616,Fe,0.17 - 0.23,10.5 - 12.5,0.5 - 0.7,0.15 - 0.3,0.7 - 1.1,,0.5 - 0.9,0.5 - 0.9,до &nbsp; 0.6,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 20Х12ВНМФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=820
20Х12Н2В2МФ,,Fe,0.09 - 0.13,10.5 - 12,0.35 - 0.5,0.18 - 0.3,1.6 - 2,,1.5 - 1.8,до &nbsp; 0.6,до &nbsp; 0.6,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 20Х12Н2В2МФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=994
20Х20Н14С2,309 S30900 1.4828 X15CrNiSi20-12 SUH309 308F80 Z10CNS20-12 Z10CNS25-20 Z15CNS20-12 Z17CNS20-12 Z9CN24-13 305S19 309S24 X16CrNi23-14 F.3312 1Cr20Ni14Si2 Ch20N14S2 H8 H20N12S2 15SiNiCr200 17251 STR309,Fe,до &nbsp; 0.2,19 - 22,,,,,12 - 15,до &nbsp; 1.5,2 - 3,до &nbsp; 0.025,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 20Х20Н14С2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=339
20Х23Н13,309 MT309 MT309S S30900 S30908 X12CrNi23-13 X7CrNi23-14 X9CrNiSiNCe21-11-2 SUH309 SUS309 SUS309S SUS309STB Z15CN24-13 309S 309S16 309S24 1.4833 X16CrNi23-14 0Cr23Ni13 H23N13 STS309S,Fe,до &nbsp; 0.2,22 - 25,,,,,12 - 15,до &nbsp; 2,до &nbsp; 1,до &nbsp; 0.025,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 20Х23Н13, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=336
20Х23Н18,310 310S 314 S31000 S31008 S31400 1.4845 CrNi25-20 X12CrNi25-21 X15CrNiSi25-20 X16CrNi25-20 X8CrNi25-21 X8CrNiSi25-21 SUH310 SUS310 SUS310S Z12CN25-20 Z12CN26-21 Z8CN25-20 310S16 310S24 310S25 310S31 1.4843 X22CrNi25-20 X6CrNi25-20 X6CrNi25-21 X6CrNi25-21KG F.331 1Cr25Ni20Si2 2361 7RE10AE 8RE10R Ch23N18 H9 G205 H23N18 H25N20S2 12NiCr250 17255 STS310S,Fe,до &nbsp; 0.2,22 - 25,,,,,17 - 20,до &nbsp; 2,до &nbsp; 1,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 20Х23Н18, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=59
20Х25Н20С2,310 314 S31400 1.4841 CrNi25-20 X15CrNiSi25-20 X15CrNiSi25-21 SUH310 SUS18 SUSY310 Z12CN25.20 Z15CNS25-20 310S24 314S25 X16CrNiSi25-20 X25CN25-20 F.3310 2Cr25Ni20 2376 H25N20S2 17255,Fe,до &nbsp; 0.2,24 - 27,до &nbsp; 0.3,до &nbsp; 0.2,до &nbsp; 0.2,,18 - 21,до &nbsp; 1.5,2 - 3,до &nbsp; 0.02,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 20Х25Н20С2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=338
30Х13Н7С2,S63005,Fe,0.25 - 0.34,12 - 14,,,,,6 - 7.5,до &nbsp; 0.8,2 - 3,до &nbsp; 0.025,до &nbsp; 0.03,,,,,"GOST 30Х13Н7С2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=807
31Х19Н9МВБТ,S63198 S63199,Fe,0.28 - 0.35,18 - 20,1 - 1.5,,1 - 1.5,,8 - 10,0.8 - 1.5,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.035,,0.2 - 0.5,,,"GOST 31Х19Н9МВБТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=18
36Х18Н25С2,H18N25S2,Fe,0.32 - 0.4,17 - 19,,,,,23 - 26,до &nbsp; 1.5,2 - 3,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 36Х18Н25С2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=60
37Х12Н8Г8МФБ,GH2036,Fe,0.34 - 0.4,11.5 - 13.5,1.1 - 1.4,1.25 - 1.55,,,7 - 9,7.5 - 9.5,0.3 - 0.8,до &nbsp; 0.03,до &nbsp; 0.035,до &nbsp; 0.3,0.25 - 0.45,,,"GOST 37Х12Н8Г8МФБ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=21
40Х10С2М,1.4731 X40CrSiMo10-2 SUH3 Z40CSD10 0/4 X40CrSiMo10 VM12D F.3221 X40CrSiMo10-02 1Cr18Mn8Ni5N 4Cr10Si2Mo 4Ch10S2M SZ4 H10S2M STR3,Fe,0.35 - 0.45,9 - 10.5,0.7 - 0.9,,,,до &nbsp; 0.6,до &nbsp; 0.8,1.9 - 2.6,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.3,,,,"GOST 40Х10С2М, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=335
40Х15Н7Г7Ф2МС,,Fe,0.38 - 0.47,14 - 16,0.65 - 0.95,1.5 - 1.9,до &nbsp; 0.2,,6 - 8,6 - 8,0.9 - 1.4,до &nbsp; 0.02,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 40Х15Н7Г7Ф2МС, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=341
40Х9С2,HNV3 HW3 S65007 1.4718 1.4818 G-X45CrSi9-3 X45CrSi9-3 SUH1 SUH2 Z45CS9 401S45 X45CrSi8 F.3220 X45CrSi09-03 X4ScrSi09-03 4Cr9Si2 4Cr9Si8 ZG40Cr9Si2 4Ch9S2 4Ch9S3 SZ3 H9S2 45SiCr90 17115 STR1,Fe,0.35 - 0.45,8 - 10,,,,,до &nbsp; 0.6,до &nbsp; 0.8,2 - 3,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.3,,,,"GOST 40Х9С2, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=372
45Х14Н14В2М,S66009 SUH31 Z35CNWS14-14 331S42 SZ8 4H14N14W2M 17322,Fe,0.4 - 0.5,13 - 15,0.25 - 0.4,,2 - 2.8,,13 - 15,до &nbsp; 0.7,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.035,,,,,"GOST 45Х14Н14В2М, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=816
45Х14НМВ2М,,Fe,0.4 - 0.5,13 - 15,0.25 - 0.4,,2 - 2.75,,13 - 15,до &nbsp; 0.7,до &nbsp; 0.8,до &nbsp; 0.02,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 45Х14НМВ2М, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=19
45Х22Н4М3,,Fe,0.4 - 0.5,21 - 23,2.5 - 3,,,,4 - 5,0.85 - 1.25,0.1 - 1,до &nbsp; 0.03,до &nbsp; 0.035,,,,,"GOST 45Х22Н4М3, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=949
55Х20Г9АН4,EV12 EV8 S63008 1.4871 X53CrMnNiN21-9 SUH35 SUH36 SUH661 Z52CMN21-09 Z53CMN21-09Az Z53CMNS21-09AZ 349S54 X53CrMnNiNS21-9 F.3217 X53CrMnNiN21-09 5Cr21Mn9Ni4N SZ13 50H21G9N4 53NNiMnCr210 17465 STR35 STR36,Fe,0.5 - 0.6,20 - 22,,,,,3.5 - 4.5,8 - 10,до &nbsp; 0.45,до &nbsp; 0.03,до &nbsp; 0.04,до &nbsp; 0.3,,0.3 - 0.6,,"GOST 55Х20Г9АН4, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=946
55Х20Г9АН4Б,,Fe,0.5 - 0.6,20 - 22,,,,,3.5 - 4.5,8 - 10,до &nbsp; 0.45,до &nbsp; 0.03,до &nbsp; 0.04,до &nbsp; 0.3,0.4 - 1,0.3 - 0.6,,"GOST 55Х20Г9АН4Б, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2053
20Х1М1Ф1БР,,Fe,0.18 - 0.25,1 - 1.5,0.8 - 1.1,0.7 - 1,,,до &nbsp; 0.3,0.5 - 0.8,до &nbsp; 0.37,до &nbsp; 0.03,до &nbsp; 0.03,,0.05 - 0.15,,,"GOST 20Х1М1Ф1БР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1361
20Х1М1Ф1ТР,,Fe,0.17 - 0.24,0.9 - 1.4,0.8 - 1.1,0.7 - 1,,,до &nbsp; 0.5,до &nbsp; 0.5,до &nbsp; 0.37,до &nbsp; 0.03,до &nbsp; 0.03,,,,,"GOST 20Х1М1Ф1ТР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=38
20Х3МВФ,,Fe,0.15 - 0.23,2.8 - 3.3,0.35 - 0.55,0.6 - 0.85,0.3 - 0.5,,до &nbsp; 0.3,0.25 - 0.5,0.17 - 0.37,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.2,,,,"GOST 20Х3МВФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=41
20ХМФБР,,Fe,0.17 - 0.26,1 - 1.5,0.8 - 1.1,0.7 - 1,,,до &nbsp; 0.45,0.5 - 0.8,до &nbsp; 0.37,до &nbsp; 0.03,до &nbsp; 0.03,до &nbsp; 0.2,до &nbsp; 0.15,,,"GOST 20ХМФБР, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=39
25Х1М1Ф,21CrMoV5-7 20CDV5-07 1.7709 21CrMoV57S BOHLERD230,Fe,0.22 - 0.29,1.5 - 1.8,0.6 - 0.8,0.15 - 0.3,,,до &nbsp; 0.3,0.4 - 0.7,0.17 - 0.37,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.2,,,,"GOST 25Х1М1Ф, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=40
25Х1М1ФА,,Fe,0.21 - 0.29,1.5 - 1.8,0.9 - 1.05,0.22 - 0.32,,,до &nbsp; 0.4,0.3 - 0.6,до &nbsp; 0.37,до &nbsp; 0.022,до &nbsp; 0.035,до &nbsp; 0.25,,,,"GOST 25Х1М1ФА, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3249
25Х1МФ,A193B14 1.7733 21CrMoV5-7 24CrMoV55 1.7709 25CrMoVA 15236,Fe,0.22 - 0.29,1.5 - 1.8,0.25 - 0.35,0.15 - 0.3,,,до &nbsp; 0.3,0.4 - 0.7,0.17 - 0.37,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.2,,,,"GOST 25Х1МФ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=35
25Х2М1Ф,24CrMoV55,Fe,0.22 - 0.29,2.1 - 2.6,0.9 - 1.1,0.3 - 0.5,,,до &nbsp; 0.25,0.4 - 0.7,0.17 - 0.37,до &nbsp; 0.025,до &nbsp; 0.03,до &nbsp; 0.2,,,,"GOST 25Х2М1Ф, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=37
30ХМ,4130 G41300 G41350 1.7220 24CrMo5 25CrMo4 26CrMo4 34CrMo4 GS-25CrMo4 GS-26CrMo4 GS-34CrMo4 SCCrM1 SCM2 SCM420 SCM430 SCM432 25CD4 25CD4FF 30CD4 30CD4FF 34CD4 34CD4FF 34CrMo4RR 708A25 1.7218 34CrMo4KD 25CrMo4KB 30CrMo4 35CrMo4 AM25CrMo4 AM26CrMo4 F.222 30CrMo ML30CrMo ML30CrMoA 2225 2233 25ChML 30ChM 25HM 26HM 30HM L25HM 26MoCr11 33MoCr11 T30CrMo3 15130 15131 G-25CrMo4 BOHLERV330 BOHLERV340 4130H SCM420TK,Fe,0.26 - 0.34,0.8 - 1.1,0.15 - 0.25,,,,до &nbsp; 0.3,0.4 - 0.7,0.17 - 0.37,до &nbsp; 0.035,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 30ХМ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=33
30ХМА,4130 4130H G41300 G41350 H41300 H41350 25CrMo4 26CrMo4 34CrMo4 GS-25CrMo4 GS-26CrMo4 GS-34CrMo4 SCM420 SCM430 SCM432 25CD4 34CD4 34CD4FF 34CrMo4RR 1.7218 1.7220 30CrMo4 35CrMo4 2225 2233 2234 BOHLERV330 BOHLERV340,Fe,0.26 - 0.33,0.8 - 1.1,0.15 - 0.25,,,,до &nbsp; 0.3,0.4 - 0.7,0.17 - 0.37,до &nbsp; 0.025,до &nbsp; 0.025,до &nbsp; 0.3,,,,"GOST 30ХМА, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=369
35ХМ,4135 4135H 4137 4137H G41300 G41350 G41370 J13048 1.7220 34CrMo4 34CrMoS4 42CrMo4 GS-34CrMo4 SCCrM3 SCM3 SCM430 SCM432 SCM435 SCM435H SCM440H 34CD4 34CD4FF 34CrMo4RR 35CD4 38CD4 708A37 1.7225 34CrMo4KD 30CrMo4 34CrMo4KB 35CrMo4 35CrMo4F 35CrMo4DF AM34CrMo4 F.1250 F.1254 F.8231 F.8331 35CrMo ML35CrMo ZG35CrMo 2234 30ChML 35ChM CMo3Z 35HM 35HMA L35HM 33MoCr11 34MoCr11 34MoCr11AS 34MoCr11q 15131 G-34CrMo4 BOHLERV330 SCM435TK,Fe,0.32 - 0.4,0.8 - 1.1,0.15 - 0.25,,,,до &nbsp; 0.3,0.4 - 0.7,0.17 - 0.37,до &nbsp; 0.035,до &nbsp; 0.035,до &nbsp; 0.3,,,,"GOST 35ХМ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=34
38Х2МЮА,A290C1M J24056 K24065 K24728 1.8509 41CrAlMo7 SACM645 40CAD6-12 905M39 41CrAiMo7 F.174 38CrMoAl 2940 38HMJ 15340,Fe,0.35 - 0.42,1.35 - 1.65,0.15 - 0.25,,,,до &nbsp; 0.3,0.3 - 0.6,0.2 - 0.45,до &nbsp; 0.025,до &nbsp; 0.025,до &nbsp; 0.3,,,,"GOST 38Х2МЮА, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=42
ЛЦ14К3С3,,Fe,,,,,,,до &nbsp; 0.2,до &nbsp; 1,2.5 - 4.5,,,77 - 81,,,,"GOST ЛЦ14К3С3, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1077
